title,author,category_id,category_name,category_color,category_icon,created_at,ppt_path
百年孤独,加西亚·马尔克斯,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,c9b2d6c5-ffd9-4fcb-ba98-0c30983a1861
测试书籍,未知（请根据实际情况填写）,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,8581d22c-8d8f-4053-a042-18ac82009ee0
《活着》,余华,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,5366bc1a-c4ef-447d-9972-4282676ac908
边城,未知作者,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,0e66ad1b-37fa-49ed-a514-18c9bb55cd0e
百年孤独,未知作者,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,5f81b015-397e-472d-9315-6888e61b3e5f
面纱,W. Somerset Maugham (威廉·萨默塞特·毛姆),literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,8e856965-9a7c-4e94-8bc0-18d9ee08412c
百年孤独,加西亚·马尔克斯 (Gabriel García Márquez),literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,05b74ac6-b9e1-4fdb-aa78-ec2c2315864d
百年孤独,加西亚·马尔克斯 (Gabriel García Márquez),literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,235fc0d3-96ad-4192-be43-615a0bfc4d7a
悲惨世界,维克多·雨果 (Victor Hugo),literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,6472bb53-a4da-47b4-8baa-c826d3a1ed9c
呐喊,鲁迅,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,f7f1982b-f915-4a0a-ab47-b0087d4bd9e5
百年孤独,加西亚·马尔克斯,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,deb6f993-1352-441c-b181-6123e0eab622
百年孤独,加西亚·马尔克斯 (Gabriel García Márquez),literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,b9a10a07-2ce2-40a3-8ff9-caaf6ea1b8eb
《活着》,余华,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,d63bbfb0-b30b-4fbd-ab41-26a863e92fe9
《活着》,余华,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,de0626f9-0de0-456c-8973-f4ca65650e82
我与地坛,史铁生,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,d71b4e42-3017-4d82-8150-ac1db6c18a75
百年孤独,加西亚·马尔克斯,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,fe10c092-1cfa-451e-85c2-ac2295082e18
人生海海,麦家,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,46c86f16-806b-439f-80a9-7e6c0a53a98e
小王子,安托万·德·圣-埃克苏佩里,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,cec18576-79eb-40aa-b3d2-68fd09556e76
一句顶一万句,刘震云,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,2459fc20-d7f0-4616-a1e5-b5e6e0bb2222
《活着》,余华,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,d8c75709-64cf-48a7-a25c-d49f206a72ee
边城,沈从文,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,7daa4385-5bf6-45ae-a6b2-1af8cbd240ab
活着,余华,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,5a6179b7-bee4-4826-8f6a-c4b3ea03252a
乔布斯传,沃尔特·艾萨克森 (Walter Isaacson),biography,自传类,#F39C12,👤,2025-07-28 21:40:28,9aa002c8-dd3a-4460-8ba1-a3a947165ca0
平凡的世界,路遥,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,0c2d4f99-bec7-4d4f-a837-36fc0b0f83f5
悲伤逆流成河,郭敬明,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,5fb16de9-35c1-42f9-ac37-c5e2c263f499
《活着》,余华,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,cebe53b8-5a17-40d6-bd31-1bdc09df0809
追风筝的人,未知作者,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,c95b13a0-2f95-4492-acfb-ea8e94c74909
百年孤独,加西亚·马尔克斯,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,615d7724-331b-4afc-9db4-bcfe0ad8aad7
风声,麦家,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,335a076e-4d8c-4c68-b79a-f1dc0fd5f93f
人间词话,王国维,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,de37667a-89c6-477e-8ceb-361518cad44c
我与地坛,史铁生,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,f25194cb-b227-476b-9d08-07b4c6a2988e
解忧杂货店,未知作者,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,90d723a9-0530-46a3-aa05-8843893bdbf9
白夜行,东野圭吾,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,edb5fe51-1a8b-4dbd-a77b-c802d6b77434
我与地坛,史铁生,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,81459e0f-2eb1-4ce9-8e44-62fa9599462e
追风筝的人,卡勒德·胡赛尼 (Khaled Hosseini),literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,286b6b4d-499c-419b-bde1-7bfaed5f2641
沉默的大多数,王小波,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,23743c53-b877-4ab2-9fca-1232ade3c27f
时间管理大师,吉姆·兰德尔,efficiency,效率提升类,#27AE60,⚡,2025-07-28 21:40:28,1f466011-9817-4100-b32c-a5cee38296b0
《活着》,余华,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,20fc96e2-6c83-4b59-8ebf-8281894a04d6
月亮与六便士,威廉·萨默塞特·毛姆,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,c561f29d-785b-4664-bc97-cf7204c8066c
《尘埃落定》,未知作者,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,b729985f-3525-4ca2-a3f9-26698973d708
我与地坛,史铁生,literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,38b4e500-5ae8-4014-9d28-40e762ca3866
人间值得,"中村恒子, 奥田弘美",literature,文学类,#E74C3C,📖,2025-07-28 21:40:28,af786ac7-4fa8-4b8a-9fe6-0a9a2a578143
时间管理,吉姆·兰德尔(Jim Randel),efficiency,效率提升类,#27AE60,⚡,2025-07-28 22:22:50,fa838c99-8ee6-4033-ab79-886ce19277d4
时间管理,吉姆·兰德尔(Jim Randel),efficiency,效率提升类,#27AE60,⚡,2025-07-28 22:37:03,7c3b9f1f-ec0d-4ff5-9cbc-7906fa431dcc
百年孤独,加夫列尔·加西亚·马尔克斯,literature,文学类,#E74C3C,📖,2025-07-29 10:04:38,518d5721-5f51-4848-80a6-06b60ce09131
《十万个为什么》,Multiple authors (不同版本由不同作者编写，苏联版原作为伊林·米哈伊尔·伊格纳季耶维奇),textbook,教材类,#34495E,📚,2025-07-29 11:01:14,74d8dfc1-5dfa-4e7f-b62b-f521dc860544
测试新书,未知作者,fiction,虚构类,#9B59B6,🔮,2025-07-29 11:26:01,b1572f79-f141-40b3-9420-38c279bfffc1
格林童话,未知作者,fiction,虚构类,#9B59B6,🔮,2025-07-29 11:29:33,71c4f9aa-5b56-45dc-a0f7-367afe8c9a32
测试渐变封面,未知作者,efficiency,效率提升类,#27AE60,⚡,2025-07-29 11:57:38,ce983710-32be-4489-8f3a-74fa874fe33d
唐诗三百首,蘅塘退士（孙洙）编选,literature,文学类,#E74C3C,📖,2025-07-29 11:58:34,803535b0-8a70-4169-a2c5-51253fd1bcc9
测试推荐系统,未知作者,efficiency,效率提升类,#27AE60,⚡,2025-07-29 12:22:50,cb4ddcfd-1211-4516-8052-b30eb59b4ade
一千零一夜,阿拉伯民间文学（作者不详）,fiction,虚构类,#9B59B6,🔮,2025-07-31 20:47:23,9b70435a-c7b8-47c7-9ecf-084eaf6daf00
